Geocodigo;Cidade;Latitude;Longitude
1507003;Santo Antônio do Tauá;-1,1516925;-48,13243307
1507102;São Caetano de Odivelas;-0,747688104;-48,0247317
1507151;São Domingos do Araguaia;-5,548979195;-48,73014306
1507201;São Domingos do Capim;-1,67609544;-47,77377915
1507300;São Félix do Xingu;-6,639442713;-51,97946037
1507409;São Francisco do Pará;-1,173233537;-47,79914175
1507458;São Geraldo do Araguaia;-6,391275753;-48,56324393
1507466;São João da Ponta;-0,851245378;-47,92105056
1507474;São João de Pirabas;-0,780597473;-47,18140551
1507508;São João do Araguaia;-5,36056978;-48,792541
1507607;São Miguel do Guamá;-1,610689048;-47,48041143
1507706;São Sebastião da Boa Vista;-1,715637435;-49,53159538
1507755;Sapucaia;-6,936008777;-49,70043426
1507805;Senador José Porfírio;-2,593385315;-51,95047392
1507904;Soure;-0,7259255;-48,51601266
1507953;Tailândia;-2,945482125;-48,94478169
1507961;Terra Alta;-1,037004199;-47,90946527
1507979;Terra Santa;-2,108114474;-56,49090477
1508001;Tomé-Açu;-2,414120581;-48,15675973
1508035;Tracuateua;-1,078423746;-46,90264372
1508050;Trairão;-4,701184849;-55,99459732
1508084;Tucumã;-6,761604509;-51,14787412
1508100;Tucuruí;-3,766889084;-49,66718437
1508126;Ulianópolis;-3,739558591;-47,4984381
1508159;Uruará;-3,714246242;-53,73925461
1508209;Vigia;-0,855532574;-48,14149859
1508308;Viseu;-1,202364106;-46,13895856
1508357;Vitória do Xingu;-2,883196214;-52,01027535
1508407;Xinguara;-7,101512827;-49,94270058
1600055;Serra do Navio;0,899698825;-52,00040141
1600105;Amapá;2,053921245;-50,79321447
1600154;Pedra Branca do Amapari;0,776882861;-51,94659427
1600204;Calçoene;2,494607856;-50,94688447
1600212;Cutias;0,97183063;-50,79758222
1600238;Ferreira Gomes;0,854799781;-51,18243041
1600253;Itaubal;0,60298865;-50,69750634
1600279;Laranjal do Jari;-0,840127281;-52,52405083
1600303;Macapá;0,038654623;-51,06644872
1600402;Mazagão;-0,124396329;-51,28607686
1600501;Oiapoque;3,84373293;-51,8307188
1600535;Porto Grande;0,711411188;-51,41002621
1600550;Pracuúba;1,74226879;-50,78336632
1600600;Santana;-0,049446339;-51,17273817
1600709;Tartarugalzinho;1,50984824;-50,91278615
1600808;Vitória do Jari;-0,926948719;-52,4160819
1700251;Abreulândia;-9,62221294;-49,15655314
1700301;Aguiarnópolis;-6,560056058;-47,47713971
1700350;Aliança do Tocantins;-11,3070719;-48,93946646
1700400;Almas;-11,56780134;-47,16625207
1700707;Alvorada;-12,48165764;-49,12524255
1701002;Ananás;-6,367085;-48,07288342
1701051;Angico;-6,389125088;-47,86546144
1701101;Aparecida do Rio Negro;-9,952819958;-47,97208323
1701309;Aragominas;-7,167436945;-48,52743734
1701903;Araguacema;-8,806452239;-49,55573901
1702000;Araguaçu;-12,92724784;-49,83146721
1702109;Araguaína;-7,195377138;-48,21004207
1702158;Araguanã;-6,579891532;-48,6427552
1702208;Araguatins;-5,651040582;-48,11423903
1702307;Arapoema;-7,655473812;-49,06684873
1702406;Arraias;-12,92275889;-46,94850247
1702554;Augustinópolis;-5,467175667;-47,88699654
1702703;Aurora do Tocantins;-12,71376224;-46,40544264
1702901;Axixá do Tocantins;-5,61798391;-47,77212208
1703008;Babaçulândia;-7,204770547;-47,76144661
1703057;Bandeirantes do Tocantins;-7,760424462;-48,57750669
1703073;Barra do Ouro;-7,715712268;-47,67388677
1703107;Barrolândia;-9,834931766;-48,72525252
1703206;Bernardo Sayão;-7,880874131;-48,89584867
1703305;Bom Jesus do Tocantins;-8,964500032;-48,16088884
1703602;Brasilândia do Tocantins;-8,38902495;-48,48444547
1703701;Brejinho de Nazaré;-11,02085152;-48,56838022
1703800;Buriti do Tocantins;-5,318693953;-48,2271832
1703826;Cachoeirinha;-6,117937223;-47,92068306
1703842;Campos Lindos;-7,974118203;-46,80224304
1703867;Cariri do Tocantins;-11,89072274;-49,16239446
1703883;Carmolândia;-7,034993244;-48,39485919
1703891;Carrasco Bonito;-5,322057249;-48,03784537
1703909;Caseara;-9,274306024;-49,95592766
1704105;Centenário;-8,961605551;-47,33807904
1704600;Chapada de Areia;-10,13957544;-49,17816598
1705102;Chapada da Natividade;-11,61535698;-47,75191606
1705508;Colinas do Tocantins;-8,054676818;-48,47860165
1705557;Combinado;-12,81221139;-46,54857928
1705607;Conceição do Tocantins;-12,22228742;-47,29238768
1706001;Couto Magalhães;-8,36024459;-49,17755181
1706100;Cristalândia;-10,59848;-49,194202
1706258;Crixás do Tocantins;-11,10488834;-48,91905852
1706506;Darcinópolis;-6,710128678;-47,75317537
1707009;Dianópolis;-11,62659346;-46,81784272
1707108;Divinópolis do Tocantins;-9,800354813;-49,21293033
1707207;Dois Irmãos do Tocantins;-9,253516513;-49,06578626
1707306;Dueré;-11,34152204;-49,26824471
1707405;Esperantina;-5,366117561;-48,53793034
1707553;Fátima;-10,75787236;-48,90306361
1707652;Figueirópolis;-12,13823176;-49,17121063
1707702;Filadélfia;-7,338387312;-47,49441935
1708205;Formoso do Araguaia;-11,80637947;-49,52520263
1708254;Tabocão;-9,056678392;-48,52041309
1708304;Goianorte;-8,770849065;-48,93608419
1709005;Goiatins;-7,714544585;-47,31646342
1709302;Guaraí;-8,840382958;-48,50995616
1709500;Gurupi;-11,73309697;-49,07177169
1709807;Ipueiras;-11,24179492;-48,4434276
1710508;Itacajá;-8,391810108;-47,77016633
1710706;Itaguatins;-5,776607313;-47,47985074
1710904;Itapiratins;-8,384812069;-48,10663224
1711100;Itaporã do Tocantins;-8,570140092;-48,68961968
1711506;Jaú do Tocantins;-12,65335165;-48,59227788
1711803;Juarina;-8,11944858;-49,09698802
1711902;Lagoa da Confusão;-10,78755532;-49,62134062
1711951;Lagoa do Tocantins;-10,29632095;-47,56532144
1712009;Lajeado;-9,752454113;-48,35584105
1712157;Lavandeira;-12,78751717;-46,50805791
1712405;Lizarda;-9,595405616;-46,67319162
1712454;Luzinópolis;-6,192130311;-47,85624168
1712504;Marianópolis do Tocantins;-9,795119725;-49,65380027
1712702;Mateiros;-10,54637868;-46,41675134
1712801;Maurilândia do Tocantins;-5,954915395;-47,51004454
1713205;Miracema do Tocantins;-9,566564894;-48,3923128
1713304;Miranorte;-9,534575851;-48,58891843
1713601;Monte do Carmo;-10,76436388;-48,11081495
1713700;Monte Santo do Tocantins;-10,00630017;-48,99231544
1713809;Palmeiras do Tocantins;-6,611242681;-47,54848556
1713957;Muricilândia;-7,145064628;-48,6076753
1714203;Natividade;-11,7072247;-47,72814874
1714302;Nazaré;-6,376811601;-47,66543399
1714880;Nova Olinda;-7,634675176;-48,42061273
1715002;Nova Rosalândia;-10,56665924;-48,91166453
1715101;Novo Acordo;-9,970087523;-47,67582079
1715150;Novo Alegre;-12,91513394;-46,57725113
1715259;Novo Jardim;-11,82051039;-46,62502468
1715507;Oliveira de Fátima;-10,71000278;-48,90718817
1715705;Palmeirante;-7,859996056;-47,93010607
1715754;Palmeirópolis;-13,039969;-48,41340306
